name,team,imageUrl,overallAvg,basesEmptyAvg,runner1Avg,runner2Avg,runner3Avg,runner12Avg,runner13Avg,runner23Avg,basesLoadedAvg
김동준,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/52267.jpg,0.237,0.191,0.316,0.375,0.143,0.200,0.667,0.000,0.000
강승호,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63123.jpg,0.236,0.249,0.217,0.148,0.462,0.308,0.091,0.091,0.200
박준영,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66928.jpg,0.225,0.267,0.174,0.200,0.000,0.333,0.000,0.333,0.000
김준상,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55226.jpg,0.200,0.250,0.250,,0.000,0.000,,,0.000
이선우,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/55224.jpg,0.182,,,,,,,,
김민혁,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/65269.jpg,0.118,0.125,0.200,0.000,,0.000,,0.000,
여동건,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54205.jpg,0.105,,,,,,,,
홍성호,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66233.jpg,0.346,,,,,,,,
조수행,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/66209.jpg,0.244,0.259,0.310,0.176,0.000,0.000,0.000,0.500,0.667
김재환,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/78224.jpg,0.241,0.236,0.241,0.364,0.286,0.241,0.300,0.000,0.143
김민석,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/53554.jpg,0.228,0.195,0.268,0.313,0.167,0.304,0.200,0.000,0.250
추재현,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/68362.jpg,0.222,0.227,0.500,0.000,0.000,0.100,,0.333,0.250
김인태,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/63257.jpg,0.213,0.207,0.167,0.235,0.333,0.143,0.333,0.200,0.333
김대한,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/69238.jpg,0.194,,,,,,,,
전다민,두산,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2026/54214.jpg,0.083,,,,,,,,
